simplified_description,Protein (g),Total Fat (g),Carbs (g),Water (g),Sodium (mg),Sugar (g)
"Minerals - Beef, T-bone Steak, U_choice",,,,,63.0,
"Minerals - Beef, Tenderloin Roast, select",,,,,54.0,
"Minerals - Beef, Top Loin steak, boneless",,,,,45.5,
"Minerals - Beef, Top Round roast/steak, select",,,,,55.0,
"Minerals, American cheese, pasteurized process",,,,,1661.578947368421,
"Minerals, Cheddar cheese, sliced",,,,,650.4444444444445,
"Minerals, Cheese, cheddar",,,,,657.625,
"Minerals, Cheese, dry white",,,,,1808.3333333333333,
"Minerals, Cheese, string (low-moisture",,,,,716.0526315789474,
"Minerals, Cheese, swiss",,,,,184.91666666666666,
"Minerals, Chicken breasts, boneless",,,,,46.666666666666664,
"Minerals, Chicken, dark meat",,,,,116.3,
"Minerals, Chicken, skin",,,,,80.73333333333333,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (AL) - NFY1209PS",,,,,219.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (CA1) - NFY1209PZ",,,,,467.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (CA2) - NFY1209Q6",,,,,215.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (CO) - NFY1209QK",,,,,459.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (CT) - NFY1209QR",,,,,329.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (FL) - NFY1209QY",,,,,509.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (IN) - NFY120A4Q",,,,,278.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (MI) - NFY1209RC",,,,,323.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (MO) - NFY1209R5",,,,,410.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (NC) - NFY1209QD",,,,,320.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (NY) - NFY1209PL",,,,,383.0,
"Minerals, Chinese Restaurant, Fried Rice (No Meat) (OK) - NFY1209RJ",,,,,424.0,
"Minerals, Cottage cheese, 2% milkfat",,,,,321.125,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (AL1,CA1) - NFY091105",,,,,35.0,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (CA2,NC1) - NFY09110Q",,,,,36.0,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (CO1,CT1) - NFY09110Z",,,,,37.0,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (FL1,MO1) - NFY09111F",,,,,36.0,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (MI1,OK1) - NFY09111P",,,,,35.0,
"Minerals, Greek yogurt, CHOBANI PLAIN NON-FAT (NY1) - NFY0910ZW",,,,,34.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (AL1,CA1) - NFY09114S",,,,,39.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (CA2,NC1) - NFY09115A",,,,,34.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (CO1,CT1) - NFY09115J",,,,,37.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (FL1,MO1) - NFY09116A",,,,,34.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (IN1,NY1) - NFY09114J",,,,,35.0,
"Minerals, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (MI1) - NFY091160",,,,,34.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (AL1,CA1) - NFY09112I",,,,,34.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (CA2,NC1) - NFY09113Z",,,,,38.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (CO1,CT1) - NFY091139",,,,,33.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (FL1) - NFY09113P",,,,,39.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (IN1,NY1) - NFY091129",,,,,34.0,
"Minerals, Greek yogurt, FAGE PLAIN NONFAT (OK1) - NFY091130",,,,,35.0,
"Minerals, Ground turkey, 93% lean",,,,,83.5,
"Minerals, Haddock, raw (AL) - NFY060COK",,,,,78.0,
"Minerals, Haddock, raw (CO) - NFY060CM2",,,,,120.0,
"Minerals, Haddock, raw (CT) - NFY060CMH",,,,,131.0,
"Minerals, Haddock, raw (FL) - NFY060CNB",,,,,76.0,
"Minerals, Haddock, raw (IN) - NFY060CMW",,,,,367.0,
"Minerals, Haddock, raw (MI) - NFY060CPE",,,,,374.0,
"Minerals, Haddock, raw (NC) - NFY060CL8",,,,,452.0,
"Minerals, Haddock, raw (NY) - NFY060CO5",,,,,106.0,
"Minerals, Mozzarella cheese, low-moisture",,,,,681.3888888888889,
"Minerals, Mustard, yellow",,,,,1107.5,
"Minerals, Oil, coconut",,,,,0.0,
"Minerals, Onion rings, frozen",,,,,374.1818181818182,
"Minerals, Parmesan cheese, grated",,,,,1752.5,
"Minerals, Peanut butter, creamy",,,,,429.27777777777777,
"Minerals, Pickles, kosher dill",,,,,780.7222222222222,
"Minerals, Pollock, raw (CO) - NFY060DMF",,,,,72.0,
"Minerals, Pollock, raw (CT) - NFY060DMR",,,,,132.0,
"Minerals, Pollock, raw (IN) - NFY060DN3",,,,,193.0,
"Minerals, Pollock, raw (MI) - NFY060DP3",,,,,299.0,
"Minerals, Pollock, raw (MO) - NFY060DNR",,,,,431.0,
"Minerals, Pollock, raw (NC) - NFY060DLR",,,,,454.0,
"Minerals, Pollock, raw (NY) - NFY060DO3",,,,,468.0,
"Minerals, Pollock, raw (OK) - NFY060DM3",,,,,617.0,
"Minerals, Pupusas, Bean",,,,,305.3333333333333,
"Minerals, Sauce, pasta",,,,,419.0,
"Minerals, Sugar, Granulated",,,,,1.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (CA1) - NFY0903MQ",,,,,144.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (CA2) - NFY0903MX",,,,,216.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (CO1) - NFY0903NB",,,,,353.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (CT1) - NFY0903NI",,,,,405.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (FL1) - NFY0903NP",,,,,309.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (IN1) - NFY0903M5",,,,,243.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (MI1) - NFY0903O3",,,,,370.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (NC1) - NFY0903N4",,,,,231.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (NY1) - NFY0903MC",,,,,174.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (VA) - NFY0903MJ",,,,,352.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (VA3) - NFY0903OA",,,,,578.0,
"Minerals, Sweet And Sour Pork, Chinese restaurant (WV) - NFY0903NW",,,,,277.0,
"Minerals, Tamale, Pork (CA-AL,IL) - NFY09027T",,,,,425.0,
"Minerals, Tamale, Pork (CA-LA,CA-SD) - NFY0902AH",,,,,539.0,
"Minerals, Tamale, Pork (CA-SB) - NFY09028Z",,,,,475.0,
"Minerals, Tamale, Pork (NM) - NFY09029B",,,,,573.0,
"Minerals, Tamale, Pork (TX-HA,NV) - NFY0902A5",,,,,414.0,
"Minerals, Tamale, Pork (TX-TR) - NFY090285",,,,,412.0,
"Minerals, Tomatoes, diced",,,,,119.55555555555556,
"Minerals, Tuna, canned",,,,,244.95833333333334,
"Minerals, White bread, PEPPERIDGE FARMS (CO1,CT1) - NFY0907MX",,,,,530.0,
"Minerals, White bread, PEPPERIDGE FARMS (FL1,MO1) - NFY0907NH",,,,,482.0,
"Minerals, White bread, PEPPERIDGE FARMS (NC1,NY1,MI1) - NFY0907OL",,,,,525.0,
"Minerals, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (AL1,CA1) - NFY0907PP",,,,,333.0,
"Minerals, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (IN1,MO1) - NFY0907P5",,,,,405.0,
"Minerals, White bread, store brand",,,,,487.45454545454544,
"Minerals, Whole wheat bread, NATURES OWN (AL,OK) - NFY1204OH",,,,,545.0,
"Minerals, Whole wheat bread, NATURES OWN (FL,NC) - NFY1204Q2",,,,,428.0,
"Minerals, Whole wheat bread, NATURES OWN (IN,CT) - NFY1204P9",,,,,442.0,
"Minerals, Whole wheat bread, STROEHMANN DUTCH COUNTY (NY) - NFY1204M4",,,,,417.0,
"Minerals, Whole wheat bread, Store brand/other (AL,OK) - NFY1204QU",,,,,516.0,
"Minerals, Whole wheat bread, Store brand/other (CA1,CO) - NFY1204RL",,,,,457.0,
"Minerals, Whole wheat bread, Store brand/other (CA2,CT) - NFY1204RD",,,,,436.0,
"Minerals, Whole wheat bread, Store brand/other (FL,MO) - NFY1204S4",,,,,464.0,
"Minerals, Whole wheat bread, Store brand/other (IN,NY) - NFY1204QL",,,,,536.0,
"Minerals, Whole wheat bread, Store brand/other (MI,NC) - NFY1204SE",,,,,255.0,
"Minerals, Yogurt, Greek",,,,,32.3125,
"Mission Figs, Dried, Region 1",,0.59,,28.2,7.0,
"Mission Figs, Dried, Region 2",,0.7,,28.2,10.0,
"Mission Figs, Dried, Region 3",,0.59,,30.9,7.0,
"Mission Figs, Dried, Region 4",,0.69,,29.5,11.0,
"Moisture, Broccoli, cooked (AL1,CA1) - NFY0904KR",,,,87.9,,
"Moisture, Broccoli, cooked (CA2,NC1) - NFY0904KZ",,,,88.2,,
"Moisture, Broccoli, cooked (CO2,CT1) - NFY0904L7",,,,88.9,,
"Moisture, Broccoli, cooked (IN1,NY1) - NFY0904KJ",,,,89.2,,
"Moisture, Broccoli, raw (AL1,CA1) - NFY0904JF",,,,87.3,,
"Moisture, Broccoli, raw (CA2,NC1) - NFY0904JN",,,,88.1,,
"Moisture, Broccoli, raw (CO2,CT1) - NFY0904JV",,,,88.8,,
"Moisture, Broccoli, raw (IN1,NY1) - NFY0904J7",,,,89.0,,
"Moisture, Lettuce, Romaine",,,,94.60000000000001,,
"Mushroom, beech",2.18,0.4494,6.7593,89.85,0.8913,
"Mushroom, crimini",3.09375,0.1967,4.01455,91.82,4.572,
"Mushroom, enoki",2.416875,0.245,8.141425,88.29,0.4167,
"Mushroom, king oyster",2.40625,0.3075,8.50065,88.13,0.7713,
"Mushroom, lion's mane",2.5,0.2563,7.5897,88.57,0.3363,
"Mushroom, maitake",2.203125,0.265,6.604375,90.37,0.345,
"Mushroom, oyster",2.89875,0.1875,6.94125,89.24,1.128,
"Mushroom, pioppini",3.5,0.24,5.7637,89.56,0.0,
"Mushroom, portabella",2.75,0.3117,4.6583,91.48,5.312,
"Mushrooms, shiitake",2.414375,0.195,8.170625,88.6,0.9363,
"Mushrooms, white button",2.890625,0.3708,4.079375,91.83,6.443,
"Mustard, Yellow, Prepared",,4.013333333333334,,83.10000000000001,1081.6666666666667,
"Mustard, prepared, yellow",4.25,3.38,5.3,83.7,1100.0,
"Nectarines, Raw, Pass 2",,0.3825,,89.05,10.5,
"Nectarines, fresh, Region 1",,0.13,,88.1,15.0,
"Nectarines, fresh, Region 2",,0.13,,89.4,16.0,
"Nectarines, fresh, Region 3",,0.23,,89.4,,
"Nectarines, fresh, Region 4",,0.17,,89.2,17.0,
"Nectarines, raw",1.06,0.28,9.18,89.0,13.0,
"Nuts, almonds, dry roasted",20.4,57.8,16.2,2.2,256.0,
"Nuts, almonds, raw",,51.09,,4.26125,0.0,
"Nuts, almonds, whole",21.45038,51.09,20.03462,4.261,0.0,
"Nuts, brazilnuts, raw",15.03684,57.43,21.64216,2.265,0.0,
"Nuts, cashew nuts, raw",17.4423,38.86,36.2887,4.811,4.759,
"Nuts, hazelnuts or filberts, raw",13.4938,53.49,26.5012,4.309,0.0,
"Nuts, macadamia nuts, raw",7.7857,64.93,24.0943,1.829,0.0,
"Nuts, pecans, halves",9.9587,73.28,12.6993,2.623,0.0,
"Nuts, pecans, raw",,73.28333333333333,,2.6225,0.0,
"Nuts, pine nuts, raw",15.7039,61.271,18.5921,1.9249999999999998,0.0,
"Nuts, pistachio nuts, raw",20.5057,45.02,27.6943,3.95,0.0,
"Nuts, walnuts, English",14.5644,69.74,10.9096,3.145,0.0,
"OATMEAL COOKIES WITH RAISINS, PEPPERIDGE FARM SOFT BAKED",,15.0,,9.494,297.6,
"OATMEAL COOKIES WITH RAISINS, STORE/OTHER BRAND",,13.733333333333334,,8.316666666666666,327.5,
"ONIONS, RED",0.9416666666666668,0.10000000000000002,,88.56666666666666,1.3333333333333333,
"ONIONS, WHITE",,0.13,,91.3,1.6666666666666667,
"ONIONS, YELLOW",0.8316666666666667,0.05000000000000001,,90.11666666666667,1.1666666666666667,
"ORANGE JUICE, REFRIGERATED, NO PULP",,0.340625,,88.3640625,2.6529375,
"Oat milk, unsweetened, plain",0.796875,2.749,5.100325,90.56,41.98,
"Oats, whole grain, rolled",13.49645,5.89,68.65755,10.246666666666666,0.6675,
"Oats, whole grain, steel cut",12.51118,5.8,69.75082,10.143333333333334,0.3112555555555556,
"Oil, coconut",0.0,99.1,0.84,0.03,0.0,
Olives green stuffed with pimentos,,,,76.71538461538461,1616.1538461538462,
"Olives, Green Manzanilla - PA, NJ",,12.6,,,,
"Olives, Green Manzanilla, Lindsay - GA",,12.1,,,,
"Olives, Green Manzanilla, Lindsay - IN",,12.5,,,,
"Olives, Green Manzanilla, Lindsay - KY",,12.6,,,,
"Olives, Green Manzanilla, Mario - CA1",,14.5,,,,
"Olives, Green Manzanilla, Mario - GA",,14.8,,,,
"Olives, Green Manzanilla, Mario - KY",,13.1,,,,
"Olives, Green Manzanilla, Mario - NE",,13.4,,,,
"Olives, Green Manzanilla, Star - AZ",,13.0,,,,
"Olives, Green Manzanilla, Store Brand",,11.3,,,,
"Olives, Green Manzanilla, Store Brand - GA",,14.7,,,,
"Olives, Green Manzanilla, Store Brand - IA",,12.2,,,,
"Olives, green, Manzanilla",1.15,12.9,4.96,76.7,1620.0,
"Onion rings, breaded, par fried",4.52,14.4,36.3,43.4,374.0,
"Onions, red, raw",0.94,0.1,9.93,88.6,1.0,
"Onions, white, raw",0.89,0.13,7.68,91.3,2.0,
"Onions, yellow, raw",0.83,0.05,8.61,90.1,1.0,
"Orange juice, no pulp, not fortified",0.7734375,0.34065,10.1765125,88.36500000000001,2.653,
"Oranges, Navel, Pass 2",,0.18,,87.5,15.75,
"Oranges, Navel, Raw",,0.11375,,85.8125,1.0,
"Oranges, raw, navels",0.91,0.15,11.8,86.7,9.0,
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",0.91,0.15,11.8,86.7,9.0,
"Peaches, Raw, Pass 2",,0.35,,88.6,6.75,
"Peaches, raw, Region 1",,0.22,,87.0,17.0,
"Peaches, raw, Region 2",,0.07,,89.2,15.0,
"Peaches, raw, Region 3",,0.18,,87.7,21.0,
"Peaches, raw, Region 4",,0.28,,88.2,23.0,
"Peaches, yellow, raw",0.91,0.27,10.1,88.3,13.0,
"Peanut butter, creamy",23.99124,49.43,22.70376,1.104,220.7,
"Peanut butter, smooth style, with salt",22.5,51.1,22.3,1.18,429.0,
"Peanuts, raw",23.205,43.28,26.498,4.816,1.493,
"Pears, Bartlett, Pass 2",,0.12,,84.35,11.5,
"Pears, Bartlett, Region 1",,0.07,,84.0,,
"Pears, Bartlett, Region 2",,0.2,,84.2,,
"Pears, Bartlett, Region 3",,0.3,,83.8,,
"Pears, Bartlett, Region 4",,0.15,,84.0,,
"Pears, Bartlett, Regions 1 & 4",,,,84.4,2.0,
"Pears, Bartlett, Regions 2 & 3",,,,83.9,2.0,
"Pears, Bosc, Region 1",,0.07,,84.0,,
"Pears, Bosc, Region 2",,0.1,,81.6,,
"Pears, Bosc, Region 3",,0.2,,83.2,,
"Pears, Bosc, Region 4",,0.07,,83.6,,
"Pears, Bosc, Regions 1 & 4",,,,83.8,2.0,
"Pears, Bosc, Regions 2 & 3",,,,82.3,2.0,
"Pears, Green Anjou, Region 1",,0.11,,82.9,,
"Pears, Green Anjou, Region 2",,0.2,,83.9,,
"Pears, Green Anjou, Region 3",,0.1,,82.7,,
"Pears, Green Anjou, Region 4",,0.07,,82.9,,
"Pears, Green Anjou, Regions 1 & 4",,,,82.8,2.0,
"Pears, Green Anjou, Regions 2 & 3",,,,83.1,2.0,
"Pears, raw, bartlett",0.38,0.16,15.1,84.1,7.0,
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.38,0.16,15.1,84.1,7.0,
"Peas, green, sweet",4.734375,1.153,12.707625,80.53,207.4,
"Peppers, bell, green",0.715,0.1063,4.7781,94.12,0.0,
"Peppers, bell, orange",0.881875,0.1556,6.703125,91.88,0.0,
"Peppers, bell, red",0.895625,0.1256,6.653175,91.93,0.0,
"Peppers, bell, yellow",0.819375,0.1211,6.601725,92.08,0.0,
"Pickles, Kosher dill",,,,,835.7777777777778,
"Pickles, cucumber, dill or kosher dill",0.48,0.43,1.99,94.7,808.0,
"Pickles, kosher dill",,0.5588888888888889,,94.9,,
"Pineapple, raw",0.4609375,0.21125555555555556,14.0914625,84.98555555555555,0.0,
"Pork, cured, bacon",40.9,36.5,2.1,14.2,1830.0,
"Pork, ground, raw",17.80625,17.49,0.0,63.87,53.63,
"Pork, loin, boneless",21.11875,9.469,0.0,68.82,40.2,
"Pork, loin, tenderloin",21.58125,3.899,0.0,73.93,41.39,
"Potatoes, gold, without skin",1.8125,0.2637555555555556,15.9624,81.06777777777778,2.2375555555555553,
"Potatoes, red, without skin",2.0625,0.2475,16.27,80.46777777777778,2.856222222222222,
"Potatoes, russet, without skin",2.27375,0.36000000000000004,17.77125,78.60555555555555,2.7425555555555556,
"Protein, ash,& moisture, Ground turkey",23.58139534883721,,,65.77674418604651,,
"Proximates, American cheese, pasteurized process",,30.569230769230767,,39.607692307692304,,
"Proximates, Beef, Boneless Top Loin steak",22.84166666666667,6.390000000000001,,69.93333333333332,,
"Proximates, Beef, Eye of Round roast/steak",23.425,2.4758333333333336,,73.69166666666666,,
"Proximates, Beef, Porterhouse Steak",22.666666666666668,5.315833333333333,,71.35833333333333,,
"Proximates, Beef, T-Bone Steak",27.337500000000002,11.380833333333333,,60.291666666666664,,
"Proximates, Beef, Tenderloin Roast",27.650000000000002,6.3625,,65.72500000000001,,
"Proximates, Beef, Top Round roast/steak",23.650000000000002,2.4066666666666667,,73.26666666666667,,
"Proximates, Cheddar cheese, sliced",,34.56666666666667,,35.605555555555554,,
"Proximates, Cheese, cheddar",,33.669230769230765,,37.246153846153845,,
"Proximates, Cheese, dry white",,24.349999999999998,,42.18333333333333,,
"Proximates, Cheese, string low-moisture",,20.445,,49.875,,
"Proximates, Cheese, swiss",,31.133333333333336,,37.800000000000004,,
"Proximates, Chicken breasts, boneless",,3.2449999999999997,,65.33333333333333,,
"Proximates, Chicken, dark meat",,,,71.64166666666667,,
"Proximates, Chicken, skin",,39.233333333333334,,42.638888888888886,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (AL) - NFY1209PT",,3.84,,58.3,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CA1) - NFY1209Q0",,6.44,,60.5,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CA2) - NFY1209Q7",,2.38,,64.3,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CO) - NFY1209QL",,4.23,,64.8,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (CT) - NFY1209QS",,1.97,,65.2,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (FL) - NFY1209QZ",,2.49,,64.1,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (IN) - NFY120A4R",,3.05,,59.5,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (MI) - NFY1209RD",,4.27,,60.9,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (MO) - NFY1209R6",,2.85,,53.5,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (NC) - NFY1209QE",,1.34,,52.8,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (NY) - NFY1209PM",,2.16,,54.3,,
"Proximates, Chinese Restaurant, Fried Rice (No Meat) (OK) - NFY1209RK",,3.24,,53.0,,
"Proximates, Cottage cheese, 2% milkfat",,2.2875,,81.15,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (AL1,CA1) - NFY09110F",,0.31,,85.2,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (CA2,NC1) - NFY09110R",,0.45,,85.0,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (CO1,CT1) - NFY091116",,0.26,,85.3,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (FL1,MO1) - NFY09111G",,0.42,,85.3,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (MI1,OK1) - NFY09111Y",,0.43,,85.7,,
"Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (NY1) - NFY0910ZX",,0.61,,85.3,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (AL1,CA1) - NFY091150",,0.23,,85.0,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (CA2,NC1) - NFY09115C",,0.52,,84.5,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (CO1,CT1) - NFY09115R",,0.3,,84.5,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (FL1,MO1) - NFY09116J",,0.31,,84.7,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (IN1,NY1) - NFY09114L",,0.55,,84.3,,
"Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (MI1) - NFY091161",,0.36,,84.9,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (AL1,CA1) - NFY09112Q",,0.38,,85.0,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (CA2,NC1) - NFY091149",,0.33,,85.0,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (CO1,CT1) - NFY09113G",,0.3,,84.8,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (FL1) - NFY09113Q",,0.41,,85.0,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (IN1,NY1) - NFY09112A",,0.24,,85.1,,
"Proximates, Greek yogurt, FAGE PLAIN NONFAT (OK1) - NFY091131",,0.31,,85.3,,
"Proximates, Haddock, raw (AL) - NFY060COQ",,0.46,,82.2,,
"Proximates, Haddock, raw (CO) - NFY060CM8",,0.44,,85.5,,
"Proximates, Haddock, raw (CT) - NFY060CMN",,0.46,,81.6,,
"Proximates, Haddock, raw (FL) - NFY060CNH",,0.47,,83.2,,
"Proximates, Haddock, raw (IN) - NFY060CN2",,0.51,,86.2,,
"Proximates, Haddock, raw (MI) - NFY060CPK",,0.38,,85.8,,
"Proximates, Haddock, raw (NC) - NFY060CLE",,0.33,,81.4,,
"Proximates, Haddock, raw (NY) - NFY060COB",,0.55,,81.2,,
"Proximates, Mozzarella cheese, low-moisture",,20.316666666666666,,45.327777777777776,,
"Proximates, Mustard, yellow",,3.2158333333333338,,83.825,,
"Proximates, Oil, coconut",,99.05,,0.028333333333333335,,
"Proximates, Onion rings, frozen",,14.372727272727273,,43.38181818181818,,
"Proximates, Parmesan cheese, grated",,28.03333333333333,,22.833333333333332,,
"Proximates, Peanut butter, creamy",,51.111111111111114,,1.1805555555555556,,
"Proximates, Pickles, kosher dill",,0.30444444444444446,,94.4388888888889,,
"Proximates, Pollock, raw (CO) - NFY060DMJ",,0.51,,85.5,,
"Proximates, Pollock, raw (CT) - NFY060DMV",,0.51,,80.7,,
"Proximates, Pollock, raw (IN) - NFY060DN7",,0.47,,88.8,,
"Proximates, Pollock, raw (MI) - NFY060DP7",,0.37,,89.8,,
"Proximates, Pollock, raw (MO) - NFY060DNV",,0.21,,88.1,,
"Proximates, Pollock, raw (NC) - NFY060DLV",,0.37,,89.6,,
"Proximates, Pollock, raw (NY) - NFY060DO7",,0.4,,83.0,,
"Proximates, Pollock, raw (OK) - NFY060DM7",,0.41,,88.4,,
"Proximates, Pupusas, Bean",,9.011666666666667,,52.18333333333334,,
"Proximates, Salsa, PACE CHUNKY",,0.16666666666666666,,88.96666666666665,,
"Proximates, Salsa, TOSTITOS CHUNKY",,0.16666666666666666,,89.39999999999999,,
"Proximates, Sauce, pasta",,1.482222222222222,,87.39166666666667,,
"Proximates, Sugar, Granulated",,0.35625,,0.021249999999999998,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (CA1,VA) - NFY0903J7",,17.0,,48.3,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (CA2,NC1) - NFY0903JU",,3.34,,57.7,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (CO1,CT1) - NFY0903KH",,14.2,,51.5,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (IN1,NY1) - NFY0903IK",,14.8,,50.5,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (MI1,VA3) - NFY0903LR",,16.0,,48.2,,
"Proximates, Sweet And Sour Pork, Chinese restaurant (VA2,WV) - NFY0903L4",,16.4,,48.9,,
"Proximates, Tamale, Pork (CA-AL,IL) - NFY09027Y",,9.23,,61.0,,
"Proximates, Tamale, Pork (CA-LA,CA-SD) - NFY0902AU",,10.2,,69.8,,
"Proximates, Tamale, Pork (CA-SB) - NFY090294",,9.57,,67.5,,
"Proximates, Tamale, Pork (NM) - NFY09029O",,9.12,,62.1,,
"Proximates, Tamale, Pork (TX-HA,NV) - NFY0902AA",,10.9,,59.2,,
"Proximates, Tamale, Pork (TX-TR) - NFY09028I",,5.19,,76.5,,
"Proximates, Tomatoes, diced",,0.255,,94.69999999999999,,
"Proximates, Tuna, canned",,0.9745833333333334,,78.35000000000001,,
"Proximates, White bread, PEPPERIDGE FARMS (CO1,CT1) - NFY0907N6",,5.4,,33.0,,
"Proximates, White bread, PEPPERIDGE FARMS (FL1,MO1) - NFY0907NU",,5.2,,34.4,,
"Proximates, White bread, PEPPERIDGE FARMS (NC1,NY1,MI1) - NFY0907OU",,5.3,,33.0,,
"Proximates, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (AL1,CA1) - NFY0907PY",,3.6,,35.9,,
"Proximates, White bread, SARA LEE SOFT AND SMOOTH CLASSIC WHOLE (IN1,MO1) - NFY0907PE",,4.0,,34.9,,
"Proximates, White bread, store brand",,3.090909090909091,,36.39090909090909,,
"Proximates, Whole wheat bread, NATURES OWN (AL,OK) - NFY1204OL",,3.22,,40.2,,
"Proximates, Whole wheat bread, NATURES OWN (FL,NC) - NFY1204Q6",,3.52,,40.3,,
"Proximates, Whole wheat bread, NATURES OWN (IN,CT) - NFY1204PE",,3.34,,40.0,,
"Proximates, Whole wheat bread, STROEHMANN DUTCH COUNTY (NY) - NFY1204M8",,3.15,,39.7,,
"Proximates, Whole wheat bread, Store brand/other (AL,OK) - NFY1204QY",,3.62,,38.8,,
"Proximates, Whole wheat bread, Store brand/other (CA1,CO) - NFY1204RQ",,3.78,,37.4,,
"Proximates, Whole wheat bread, Store brand/other (CA2,CT) - NFY1204RE",,4.0,,38.4,,
"Proximates, Whole wheat bread, Store brand/other (FL,MO) - NFY1204S6",,3.89,,37.7,,
"Proximates, Whole wheat bread, Store brand/other (IN,NY) - NFY1204QM",,3.4,,37.7,,
"Proximates, Whole wheat bread, Store brand/other (MI,NC) - NFY1204SI",,3.56,,36.5,,
"Proximates, Yogurt, Greek",8.065,0.14875,,79.01875,,
"Raspberries, raw",1.008125,0.1875,12.904375,85.55,0.0,
