fdc_id,description
321657,broccoliux
321658,"broccoli, raw, yes"
321659,"broccoli, yes, vitamin e - nfy010488"
321660,"broccoli, yes, proximates - nfy01047m"
321661,"broccoli, yes, minerals - nfy01047o"
321662,"broccoli, yes, sugar - nfy01047p"
321663,"broccoli, yes, fiber - nfy01047t"
321664,"broccoli, yes, vitamin c - nfy01047u"
321665,"broccoli, yes, thiamin - nfy01047v"
321666,"broccoli, yes, riboflavin - nfy01047w"
321667,"broccoli, yes, niacin - nfy010481"
321668,"broccoli, yes, pantothenic acid - nfy010482"
321669,"broccoli, yes, vitamin b6 - nfy010483"
321670,"broccoli, yes, folate - nfy010484"
321671,"broccoli, yes, vitamin k - nfy01048a"
321672,"broccoli, yes, selenium - nfy01048b"
321673,"broccoli, yes, proximates - nfy01048f"
321674,"broccoli, pure compositeh2"
321675,broccolid0l
321676,broccolid0m
321677,broccolid0i
321678,broccolid0j
321679,broccolid0k
321681,"broccoli, yes, vitamin k - nfy010cv2"
321682,"broccoli, yes, proximates - nfy010cue"
321683,"broccoli, yes, minerals - nfy010cug"
321684,"broccoli, yes, sugar - nfy010cuh"
321685,"broccoli, yes, vitamin c - nfy010cul"
321686,"broccoli, yes, thiamin - nfy010cum"
321687,"broccoli, yes, riboflavin - nfy010cun"
321688,"broccoli, yes, niacin - nfy010cuo"
321689,"broccoli, yes, pantothenic acid - nfy010cut"
321690,"broccoli, yes, vitamin b6 - nfy010cuu"
321691,"broccoli, yes, folate - nfy010cuv"
321692,"broccoli, yes, amino acids - nfy010cuw"
321693,"broccoli, pure compositea"
321694,broccoliuy
321695,broccoliuz
321696,broccoliv0
321697,broccoliv1
321698,broccoliv2
321699,broccoliv3
321701,"broccoli, yes, vitamin e - nfy0104bi"
321702,"broccoli, yes, amino acids - nfy0104bg"
321703,"broccoli, yes, fatty acids - nfy0104bh"
321704,"broccoli, yes, vitamin k - nfy0104bn"
321705,"broccoli, yes, selenium - nfy0104bo"
321706,"broccoli, yes, proximates - nfy0104bp"
321707,"broccoli, yes, vitamin b6 - nfy0104bb"
321708,"broccoli, yes, folate - nfy0104bc"
321709,"broccoli, yes, proximates - nfy0104au"
321710,"broccoli, yes, minerals - nfy0104aw"
321711,"broccoli, yes, sugar - nfy0104ax"
321712,"broccoli, yes, fiber - nfy0104b1"
321713,"broccoli, yes, vitamin c - nfy0104b2"
321714,"broccoli, yes, thiamin - nfy0104b3"
321715,"broccoli, yes, riboflavin - nfy0104b4"
321716,"broccoli, yes, niacin - nfy0104b9"
321717,"broccoli, yes, pantothenic acid - nfy0104ba"
321718,"broccoli, pure compositec"
321719,broccolioe
321720,broccoliof
321721,broccoliog
321722,broccolioh
321723,"broccoli, ny/nj1or"
321724,"broccoli, ny/nj1os"
321725,"broccoli, ny/nj1ot"
321726,"broccoli, ny/nj1ou"
321727,broccoliod
321728,broccolioc
321730,"broccoli, yes, vitamin e - nfy0104ck"
321731,"broccoli, yes, proximates - nfy0104bx"
321732,"broccoli, yes, minerals - nfy0104bz"
321733,"broccoli, yes, sugar - nfy0104c0"
321734,"broccoli, yes, starch - nfy0104c4"
321735,"broccoli, yes, fiber - nfy0104c5"
321736,"broccoli, yes, vitamin c - nfy0104c6"
321737,"broccoli, yes, thiamin - nfy0104c7"
321738,"broccoli, yes, riboflavin - nfy0104cc"
321739,"broccoli, yes, niacin - nfy0104cd"
321740,"broccoli, yes, pantothenic acid - nfy0104ce"
321741,"broccoli, yes, vitamin b6 - nfy0104cf"
321742,"broccoli, yes, folate - nfy0104cj"
321743,"broccoli, yes, vitamin k - nfy0104cm"
321744,"broccoli, yes, selenium - nfy0104cq"
321745,"broccoli, yes, proximates - nfy0104cs"
321746,"broccoli, steamed, pure composited"
321747,"broccoli, cooked, yes"
321764,"broccoli, or/wa3ok"
321765,"broccoli, or/wa3ol"
321766,"broccoli, or/wa3om"
321767,"broccoli, or/wa3on"
321768,"broccoli, or/wa2oo"
321769,"broccoli, or/wa2op"
321770,"broccoli, or/wa2oq"
321771,broccolioi
321772,broccolioj
321774,"broccoli, yes, vitamin e - nfy010498"
321775,"broccoli, yes, proximates - nfy01048k"
321776,"broccoli, yes, minerals - nfy01048m"
321777,"broccoli, yes, sugar - nfy01048n"
321778,"broccoli, yes, fiber - nfy01048r"
321779,"broccoli, yes, vitamin c - nfy01048s"
321780,"broccoli, yes, thiamin - nfy01048t"
321781,"broccoli, yes, riboflavin - nfy01048u"
321782,"broccoli, yes, niacin - nfy01048z"
321783,"broccoli, yes, pantothenic acid - nfy010490"
321784,"broccoli, yes, vitamin b6 - nfy010491"
321785,"broccoli, yes, folate - nfy010492"
321786,"broccoli, yes, amino acids - nfy010496"
321787,"broccoli, yes, fatty acids - nfy010497"
321788,"broccoli, yes, vitamin k - nfy01049d"
321789,"broccoli, yes, selenium - nfy01049e"
321790,"broccoli, yes, proximates - nfy01049f"
321791,"broccoli, steamed, pure composite"
321810,"broccoli, pure compositehh"
321811,broccolidcv
321812,broccolidcw
321813,broccolidcx
321814,"broccoli, or/wa3dcs"
321815,"broccoli, or/wa3dct"
321816,"broccoli, or/wa3dcu"
321817,"broccoli, yes, proximates - nfy010d7d"
321818,"broccoli, yes, minerals - nfy010d7f"
321819,"broccoli, yes, sugar - nfy010d7g"
321820,"broccoli, yes, vitamin c - nfy010d7k"
321821,"broccoli, yes, thiamin - nfy010d7l"
