fdc_id,description
325774,"white bread, store brand, publix bread (fl1) - cy090ev"
325781,"white bread, store brand, great value white (ok1) - cy090ey"
325788,"white bread, store brand, safeway premium white (co1) - cy090et"
325795,"white bread, pepperidge farms (fl1,mo1) - cy090f2"
325796,"white bread, pepperidge farms, 16 oz package (mo) - nfy090a5e"
325797,"white bread, pepperidge farms, 16 oz package (fl) - nfy090a6l"
325798,"minerals, white bread, pepperidge farms (fl1,mo1) - nfy0907nh"
325799,"niacin, white bread, pepperidge farms (fl1,mo1) - nfy0907ni"
325800,"selenium, white bread, pepperidge farms (fl1,mo1) - nfy0907nj"
325801,"sugars, white bread, pepperidge farms (fl1,mo1) - nfy0907nk"
325802,"vitamin b6, white bread, pepperidge farms (fl1,mo1) - nfy0907nl"
325803,"starch, white bread, pepperidge farms (fl1,mo1) - nfy0907nm"
325804,"tdf, white bread, pepperidge farms (fl1,mo1) - nfy0907nn"
325805,"fatty acids, white bread, pepperidge farms (fl1,mo1) - nfy0907no"
325806,"pantothenic acid, white bread, pepperidge farms (fl1,mo1) - nfy0907np"
325807,"riboflavin, white bread, pepperidge farms (fl1,mo1) - nfy0907nr"
325808,"thiamin, white bread, pepperidge farms (fl1,mo1) - nfy0907ns"
325809,"proximates, white bread, pepperidge farms (fl1,mo1) - nfy0907nu"
325810,"white bread, pepperidge farms (co1,ct1) - cy090f1"
325811,"white bread, pepperidge farms, 16 oz package (co) - nfy090a32"
325812,"white bread, pepperidge farms, 16 oz package (ct) - nfy090a33"
325813,"minerals, white bread, pepperidge farms (co1,ct1) - nfy0907mx"
325814,"niacin, white bread, pepperidge farms (co1,ct1) - nfy0907my"
325815,"selenium, white bread, pepperidge farms (co1,ct1) - nfy0907mz"
325816,"sugars, white bread, pepperidge farms (co1,ct1) - nfy0907n0"
325817,"vitamin b6, white bread, pepperidge farms (co1,ct1) - nfy0907n1"
325818,"starch, white bread, pepperidge farms (co1,ct1) - nfy0907n2"
325819,"tdf, white bread, pepperidge farms (co1,ct1) - nfy0907n3"
325820,"fatty acids, white bread, pepperidge farms (co1,ct1) - nfy0907n4"
325821,"pantothenic acid, white bread, pepperidge farms (co1,ct1) - nfy0907n5"
325822,"proximates, white bread, pepperidge farms (co1,ct1) - nfy0907n6"
325823,"riboflavin, white bread, pepperidge farms (co1,ct1) - nfy0907n7"
325824,"thiamin, white bread, pepperidge farms (co1,ct1) - nfy0907n8"
325825,"white bread, pepperidge farms (nc1,ny1,mi1) - cy090f4"
325826,"white bread, pepperidge farms, 16 oz package (mi) - nfy090a6k"
325827,"white bread, pepperidge farms, 16 oz package (ny) - nfy090a31"
325828,"white bread, pepperidge farms, 16 oz package (nc) - nfy090a1d"
325829,"thiamin, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907ow"
325830,"minerals, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907ol"
325831,"niacin, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907om"
325832,"selenium, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907on"
325833,"sugars, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907oo"
325834,"vitamin b6, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907op"
325835,"starch, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907oq"
325836,"tdf, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907or"
325837,"fatty acids, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907os"
325838,"pantothenic acid, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907ot"
325839,"proximates, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907ou"
325840,"riboflavin, white bread, pepperidge farms (nc1,ny1,mi1) - nfy0907ov"
325841,"white bread, sara lee soft and smooth classic whole (in1,mo1) - cy090f5"
325842,"white bread, sara lee soft and smooth classic whole, 20 oz package (in) - nfy0909t1"
325843,"white bread, sara lee soft and smooth classic whole, 20 oz package (mo) - nfy090a5d"
325844,"minerals, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907p5"
325845,"niacin, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907p6"
325846,"selenium, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907p7"
325847,"sugars, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907p8"
325848,"vitamin b6, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907p9"
325849,"starch, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pa"
325850,"tdf, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pb"
325851,"fatty acids, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pc"
325852,"pantothenic acid, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pd"
325853,"proximates, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pe"
325854,"riboflavin, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pf"
325855,"thiamin, white bread, sara lee soft and smooth classic whole (in1,mo1) - nfy0907pg"
325856,"white bread, sara lee soft and smooth classic whole (al1,ca1) - cy090f6"
325857,"white bread, sara lee soft and smooth classic whole, 20 oz package (ca1) - nfy0909rg"
325858,"white bread, sara lee soft and smooth classic whole, 20 oz package (al) - nfy0909t0"
325859,"minerals, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pp"
325860,"niacin, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pq"
325861,"selenium, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pr"
325862,"sugars, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907ps"
325863,"vitamin b6, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pt"
325864,"starch, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pu"
325865,"tdf, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pv"
325866,"fatty acids, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pw"
325867,"pantothenic acid, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907px"
325868,"proximates, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907py"
325869,"riboflavin, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907pz"
325870,"thiamin, white bread, sara lee soft and smooth classic whole (al1,ca1) - nfy0907q0"
325871,"bread, white, commercially prepared"
325872,"turkey breakfast sausage, honeysuckle white"
325881,"turkey breakfast sausage, hillshire smoked"
325891,"turkey breakfast sausage, jimmy dean"
325929,"turkey breakfast sausage, jennie o - mild"
325948,"turkey breakfast sausage, honeysuckle fresh"
325956,"turkey breakfast sausage, butterball"
325992,"sausage, turkey, breakfast links"
325993,"cheese, swiss, slices"
325994,"swiss cheese slices, sargento (fl) 18c-fl-swc-75"
325995,"fatty acids, cheese, swiss"
325996,"minerals, cheese, swiss"
325997,"proximates, cheese, swiss"
325999,"swiss cheese slices, sargento (ok) 18c-ok-swc-169"
326000,"swiss cheese slices, sargento (mi) 18c-mi-swc-109"
326005,"swiss cheese slices, sargento (al) 18c-al-swc-9"
326006,"swiss cheese slices, sargento (ca1) 18c-ca1-swc-17"
326011,"swiss cheese slices, sargento (co) 18c-co-swc-50"
326012,"swiss cheese slices, sargento (ct) 18c-ct-swc-62"
326013,"vitamin b12, cheese, swiss"
326014,"vitamin b6, cheese, swiss"
326015,"cholesterol, cheese, swiss"
326018,"niacin, cheese, swiss"
326020,"riboflavin, cheese, swiss"
326021,"selenium, cheese, swiss"
326022,"thiamin, cheese, swiss"
326023,"tocopherols, cheese, swiss"
326025,"swiss cheese slices, foodlion (nc) 18c-nc-swc-132"
326026,"swiss cheese slices, american choice (ny) 18c-ny-swc-149"
326031,"swiss cheese slices, sargento (nc) 18c-nc-swc-133"
326032,"swiss cheese slices, sargento (ca2) 18c-ca2-swc-39"
326035,"carotenoids, cheese, swiss"
326038,"folate, cheese, swiss"
326041,"pantothenic acid, cheese, swiss"
326043,"retinol, cheese, swiss"
326046,"sugars, cheese, swiss"
326048,"vitamin d, cheese, swiss"
326050,"vitamin k, cheese, swiss"
326052,"swiss cheese slices, piggly wiggly (al) 18c-al-swc-14"
326053,"swiss cheese slices, store brand (ca1) 18c-ca1-swc-181"
326058,"swiss cheese slices, sargento (ny) 18c-ny-swc-150"
326059,"swiss cheese slices, sargento (in) 18c-in-swc-95"
326075,"choline, cheese, swiss"
326077,"swiss cheese slices, shop rite (ct) 18c-ct-swc-63"
326078,"swiss cheese slices, great value (ok) 18c-ok-swc-168"
326083,"swiss cheese slices, kroger  (in) 18c-in-swc-94"
326084,"swiss cheese slices, kroger (mi) 18c-mi-swc-108"
326101,"swiss cheese slices, publix (fl) 18c-fl-swc-74"
326102,"swiss cheese slices, hyvee (mo) 18c-mo-swc-121"
326115,"swiss cheese slices, lucerne (ca2) 18c-ca2-swc-38"
326116,"swiss cheese slices, lucerne (co) 18c-co-swc-49"
326135,"cheese, swiss"
326136,"kale, frozen, cooked"
326137,"kale, frozen, as purchased"
326139,kale - nfy1214rq
326144,kale - nfy1214t3
326149,kale - nfy1214sf
326154,kale - nfy1214sr
326159,kale - nfy1214ss
326160,kale - nfy1214st
326161,kale - nfy1214sk
326162,kale - nfy1214su
326163,kale - nfy1214sl
326164,"kale, frozen, cooked - ia"
326168,kale - nfy1214s2
326174,kale - nfy1214s3
326175,kale - nfy1214s4
326176,kale - nfy1214s5
326177,kale - nfy1214rv
326178,kale - nfy1214s6
326179,"kale, frozen, cooked - ne"
326183,kale - nfy1214rd
326189,kale - nfy1214re
326190,kale - nfy1214rf
326191,kale - nfy1214rg
326192,kale - nfy1214r5
326193,kale - nfy1214rh
326194,kale - nfy1214r6
326195,"kale, frozen, cooked - pa"
326197,"carrots, sliced or crinkle cut, frozen"
326198,"carrots, crinkle cut, westpac"
326199,"carrots, crinkle cut, store brand"
326201,"carrots, crinkle cut, vip"
326206,"carrots, crinkle cut, flavrpac"
326268,"carrots, julienne, eco terra"
326269,"carrots, sliced, pictsweet"
326314,"carrots, whole, frozen"
326315,"carrots, whole, baby"
326327,"carrots, whole, unprepared - proximates - nf99143a"
326328,"carrots, whole, unprepared - minerals - nf99143b"
326329,"carrots, whole, unprepared - sugars - nf99143c"
326330,"carrots, whole, unprepared - starch - nf99143i"
326331,"carrots, whole, unprepared - dietary fiber - nf99143j"
326332,"carrots, whole, unprepared - vitamin c - nf99143k"
326345,"carrots, whole, unprepared - starch - nf99146x"
326346,"carrots, whole, unprepared - dietary fiber - nf99146y"
326347,"carrots, whole, unprepared - vitamin c - nf99146z"
326348,"carrots, whole, unprepared - proximates - nf99146p"
326349,"carrots, whole, unprepared - minerals - nf99146q"
326350,"carrots, whole, unprepared - sugars - nf99146r"
326390,"carrots, cut whole, store brand"
326393,"carrots, whole, unprepared - proximates - nf9914eh"
326394,"carrots, whole, unprepared - minerals - nf9914ei"
326395,"carrots, whole, unprepared - sugars - nf9914ej"
326396,"carrots, whole, unprepared - starch - nf9914ep"
326397,"carrots, whole, unprepared - dietary fiber - nf9914eq"
326398,"carrots, whole, unprepared - vitamin c - nf9914er"
326412,"carrots, whole, unprepared - proximates - nf99143s"
326413,"carrots, whole, unprepared - amino acids - nf99143t"
326414,"carrots, whole, unprepared - proximates - nf99143u"
326415,"carrots, whole, unprepared - minerals - nf99143v"
326416,"carrots, whole, unprepared - sugars - nf99143z"
326417,"carrots, whole, unprepared - starch - nf991440"
326418,"carrots, whole, unprepared - dietary fiber - nf991441"
326419,"carrots, whole, unprepared - vitamin c - nf991447"
326420,"carrots, whole, unprepared - thiamin - nf991448"
326421,"carrots, whole, unprepared - riboflavin - nf991449"
326422,"carrots, whole, unprepared - niacin - nf99144a"
326423,"carrots, whole, unprepared - vitamin b6 - nf99144e"
326425,"carrots, whole, unprepared"
326440,"carrots, whole, unprepared - proximates - nf99140c"
326441,"carrots, whole, unprepared - amino acids - nf99140d"
326442,"carrots, whole, unprepared - proximates - nf99140f"
326443,"carrots, whole, unprepared - minerals - nf99140g"
326444,"carrots, whole, unprepared - sugars - nf99140i"
326445,"carrots, whole, unprepared - starch - nf99140j"
326446,"carrots, whole, unprepared - dietary fiber - nf99140l"
326447,"carrots, whole, unprepared - vitamin c - nf99140m"
326448,"carrots, whole, unprepared - thiamin - nf99140p"
326449,"carrots, whole, unprepared - riboflavin - nf99140s"
326450,"carrots, whole, unprepared - niacin - nf99140t"
326451,"carrots, whole, unprepared - pantothenic acid - nf99140y"
326452,"carrots, whole, unprepared - vitamin b6 - nf99140z"
326454,"carrots, whole, unprepared - proximates - nf991414"
326455,"carrots, whole, unprepared - vitamin k - nf991418"
326458,"carrots, frozen, unprepared (includes foods for usda's food distribution program)"
326459,"mustard, yellow, frenchs classic (ca2,nc) - cy120pv"
326460,"mustard, yellow, frenchs classic (ca2) - nfy120h5q"
326461,"mustard, yellow, frenchs classic (ca2) - nfy120h5p"
326462,"mustard, yellow, frenchs classic (nc1) - nfy120h62"
326463,"mustard, yellow, frenchs classic (nc1) - nfy120h61"
326464,"minerals, mustard, yellow"
326465,"proximates, mustard, yellow"
326466,"mustard, yellow, frenchs classic (fl,mo) - cy120px"
326467,"mustard, yellow, frenchs classic (mo1) - nfy120h65"
326468,"mustard, yellow, frenchs classic (mo1) - nfy120h66"
326469,"mustard, yellow, frenchs classic (fl1) - nfy120h63"
326470,"mustard, yellow, frenchs classic (fl1) - nfy120h64"
326473,"mustard, yellow, frenchs classic (in,ny) - cy120pt"
326474,"mustard, yellow, frenchs classic (ny1) - nfy120h5n"
326475,"mustard, yellow, frenchs classic (in1) - nfy120h5t"
326476,"mustard, yellow, frenchs classic (in1) - nfy120h5u"
326477,"mustard, yellow, frenchs classic (ny1) - nfy120h5o"
326480,"mustard, yellow, store brand"
326494,"mustard, yellow, frenchs classic (co,ct) - cy120pw"
326495,"mustard, yellow, frenchs classic (ct1) - nfy120h5y"
326496,"mustard, yellow, frenchs classic (co1) - nfy120h5r"
326497,"mustard, yellow, frenchs classic (ct1) - nfy120h5x"
326498,"mustard, yellow, frenchs classic (co1) - nfy120h5s"
326499,"carotenoids, mustard, yellow"
326500,"folate, mustard, yellow"
326502,"niacin, mustard, yellow"
326503,"selenium, mustard, yellow"
326504,"pantothenic acid, mustard, yellow"
326506,"riboflavin, mustard, yellow"
326507,"tdf, mustard, yellow"
326508,"thiamin, mustard, yellow"
326509,"vitamin b6, mustard, yellow"
326510,"mustard, yellow, frenchs classic (mi,ok) - cy120py"
326511,"mustard, yellow, frenchs classic (ok1) - nfy120h5j"
326512,"mustard, yellow, frenchs classic (mi1) - nfy120h5v"
326513,"mustard, yellow, frenchs classic (ok1) - nfy120h5k"
326514,"mustard, yellow, frenchs classic (mi1) - nfy120h5w"
326515,"tocopherols, mustard, yellow"
326522,"starch, mustard, yellow"
326523,"sugars, mustard, yellow"
326527,"vitamin c, mustard, yellow"
326528,"vitamin k, mustard, yellow"
326537,"mustard, yellow, frenchs classic (al,ca1) - cy120pu"
326538,"mustard, yellow, frenchs classic (ca1) - nfy120h5l"
326539,"mustard, yellow, frenchs classic (al1) - nfy120h5z"
326540,"mustard, yellow, frenchs classic (al1) - nfy120h60"
326541,"mustard, yellow, frenchs classic (ca1) - nfy120h5m"
326548,"fatty acids, mustard, yellow"
326605,"prepared yellow mustard, frenchs classic yellow mustard, national"
326606,"prepared yellow mustard, frenchs classic yellow mustard, tx - nfy020z5g"
326607,"prepared yellow mustard, frenchs classic yellow mustard, tx - nfy020yzz"
326608,"prepared yellow mustard, frenchs classic yellow mustard, pa - nfy020z1d"
326609,"prepared yellow mustard, frenchs classic yellow mustard, pa - nfy020z6l"
326610,"prepared yellow mustard, frenchs classic yellow mustard, tn - nfy020yzi"
326611,"prepared yellow mustard, frenchs classic yellow mustard, ar - nfy020z4i"
326612,"prepared yellow mustard, frenchs classic yellow mustard, ca - nfy020yw8"
326613,"prepared yellow mustard, frenchs classic yellow mustard, il - nfy020z1i"
326614,"prepared yellow mustard, frenchs classic yellow mustard, mo - nfy020yt5"
326615,"prepared yellow mustard, frenchs classic yellow mustard, nj - nfy020z95"
326616,"prepared yellow mustard, frenchs classic yellow mustard, wa - nfy020yyx"
326617,"prepared yellow mustard, frenchs classic yellow mustard, wa - nfy020z34"
326618,"mustard, yellow, prepared"
326636,"prepared yellow mustard, store brand, national"
326637,"prepared yellow mustard, store brand, tx - nfy020z5h"
326638,"prepared yellow mustard, store brand, ar - nfy020z4j"
326639,"prepared yellow mustard, store brand, ca - nfy020ywa"
326640,"prepared yellow mustard, store brand, il - nfy020z1j"
326641,"prepared yellow mustard, store brand, nj - nfy020z96"
326642,"prepared yellow mustard, store brand, wa - nfy020yyz"
326643,"prepared yellow mustard, store brand, wa - nfy020z3c"
326644,"prepared yellow mustard, store brand, pa - nfy020z6m"
326645,"prepared yellow mustard, store brand, tn - nfy020yzj"
326646,"prepared yellow mustard, store brand, tx - nfy020z01"
326647,"prepared yellow mustard, store brand, pa - nfy020z1e"
326648,"prepared yellow mustard, store brand, mo - nfy020z0r"
326667,"prepared yellow mustard, national, mixed - cy01338"
326668,"prepared yellow mustard, heinz yellow mustard, wa - nfy020yyy"
326669,"prepared yellow mustard, heinz yellow mustard, tx - nfy020z00"
326670,"prepared yellow mustard, other brand, ar - nfy020z4k"
326671,"prepared yellow mustard, other brand, ca - nfy020ywb"
326672,"prepared yellow mustard, other brand, nj - nfy020z97"
326673,"prepared yellow mustard, other brand, wa - nfy020z35"
326674,"prepared yellow mustard, other brand, pa - nfy020z6n"
326675,"prepared yellow mustard, other brand, pa - nfy020z1f"
326676,"prepared yellow mustard, other brand, tn - nfy020yzk"
326677,"prepared yellow mustard, other brand, tx - nfy020z5j"
326678,"prepared yellow mustard, other brand, il - nfy020z1m"
326679,"prepared yellow mustard, other brand, mo - nfy020z0s"
326698,"mustard, prepared, yellow"
326699,"figs, mission, dried"
326700,"mission figs, dried"
326704,"mission figs, driedd"
326705,"mission figs, driede"
326706,"mission figs, driedf"
326707,"mission figs, driedg"
326708,"mission figs, dried, yes"
326725,"mission figs, dried, or/wa3"
326726,"mission figs, dried, or/wa2"
326727,"mission figs, dried, or/wa2a"
326728,"mission figs, dried, or/wa2b"
326729,"mission figs, dried, or/wa2c"
326730,"mission figs, dried, or/wa3l"
326731,"mission figs, dried, or/wa3m"
326732,"mission figs, dried, or/wa3n"
326749,"figs, mixed compositegq"
326750,figsciy
326751,figsciz
326752,figscj0
326753,figscj1
326754,figscj6
326755,figscj7
326756,figscj8
326757,figscj9
326758,figscja
326759,figscjb
326760,figscjc
326761,figscjd
326762,"figs, dried, no"
326780,"figs, pure compositegr"
326781,"figs, or/wa2ciu"
326782,"figs, or/wa2civ"
326783,"figs, or/wa2ciw"
326784,"figs, or/wa2cix"
326785,"figs, or/wa3cj2"
326786,"figs, or/wa3cj3"
326787,"figs, or/wa3cj4"
326788,"figs, or/wa3cj5"
326789,"figs, dried, yes"
326807,"mission figs, dried, ny/nj1z5"
326808,"mission figs, dried, ny/nj1z6"
326809,"mission figs, driedzz"
326816,"mission figs, dried, ny/nj1z4"
326817,"mission figs, dried, no"
326832,"figs, pure compositegt"
326833,figscm3
326834,figscm4
326835,figscm5
326836,figscm6
326854,"figs, pure compositegs"
326855,figscm7
326856,figscm8
326857,figscm9
326858,figscma
326859,figscmb
326860,figscmc
326861,figscmd
326862,figscme
326881,"mission figs, driedj"
326882,"mission figs, driedk"
326883,"mission figs, driedo"
326884,"mission figs, driedh"
326885,"mission figs, driedi"
326886,"mission figs, driedp"
326887,"mission figs, driedq"
326888,"mission figs, driedr"
326905,"figs, dried, uncooked"
326906,"kiwi, pure compositega"
326907,"kiwi, or/wa3ci4"
326908,kiwici7
326909,"kiwi, or/wa2cjw"
326910,"kiwi, yes, proximates - nfy010byv"
326911,"kiwi, yes, minerals - nfy010byx"
326912,"kiwi, yes, sugar - nfy010byy"
326913,"kiwi, yes, fiber - nfy010bz3"
326914,"kiwi, yes, vitamin c - nfy010bz4"
326915,"kiwi, yes, vitamin k - nfy010bz5"
326916,"kiwi, raw, yes"
326917,kiwibz0 pure compositega
326918,"kiwi, pure compositex"
326919,"kiwi, ny/nj1yi"
326920,kiwiyj
326921,kiwiyk
326922,"kiwi, yes, sugar  - nfy0100u4"
326923,"kiwi, yes, starch  - nfy0100u5"
326924,"kiwi, yes, fiber  - nfy0100u9"
326925,"kiwi, yes, vitamin c  - nfy0100ua"
326926,"kiwi, yes, thiamin  - nfy0100ub"
326927,"kiwi, yes, riboflavin  - nfy0100uc"
326928,"kiwi, yes, niacin  - nfy0100uh"
326929,"kiwi, yes, pantothenic acid  - nfy0"
326930,"kiwi, yes, vitamin b6  - nfy0100uj"
326931,"kiwi, yes, folate  - nfy0100uk"
326932,"kiwi, yes, vitamin k  - nfy0100ul"
326933,"kiwi, yes, vitamin e  - nfy0100up"
326934,"kiwi, yes, selenium  - nfy0100uq"
326935,"kiwi, yes, proximates  - nfy0100u2"
326936,"kiwi, yes, minerals  - nfy0100u3"
326938,"kiwi, pure compositev"
326939,"kiwi, or/wa2yl"
326940,"kiwi, or/wa3ym"
326941,kiwiyn
326942,"kiwi, yes, starch  - nfy0100s9"
326943,"kiwi, yes, fiber  - nfy0100sd"
326944,"kiwi, yes, vitamin c  - nfy0100se"
326945,"kiwi, yes, thiamin  - nfy0100sf"
326946,"kiwi, yes, riboflavin  - nfy0100sg"
326947,"kiwi, yes, niacin  - nfy0100sl"
326949,"kiwi, yes, vitamin b6  - nfy0100sn"
326950,"kiwi, yes, folate  - nfy0100so"
326951,"kiwi, yes, vitamin k  - nfy0100sp"
326952,"kiwi, yes, amino acids  - nfy0100ss"
326953,"kiwi, yes, vitamin e  - nfy0100st"
326954,"kiwi, yes, selenium  - nfy0100su"
326955,"kiwi, yes, minerals  - nfy0100s7"
326956,"kiwi, yes, sugar  - nfy0100s8"
326957,"kiwi, yes, proximates  - nfy0100s6"
326959,"kiwi, pure compositeg9"
326960,kiwici5
326961,kiwici6
326962,kiwici8
326963,"kiwi, yes, vitamin b6 - nfy010byi"
326964,"kiwi, yes, amino acids - nfy010byj"
326965,"kiwi, yes, folate - nfy010byo"
326966,"kiwi, yes, vitamin k - nfy010byp"
326967,"kiwi, yes, thiamin - nfy010bya"
326968,"kiwi, yes, riboflavin - nfy010byb"
326969,"kiwi, yes, niacin - nfy010byg"
326970,"kiwi, yes, pantothenic acid - nfy010byh"
326971,"kiwi, yes, proximates - nfy010by1"
326972,"kiwi, yes, minerals - nfy010by3"
326973,"kiwi, yes, sugar - nfy010by4"
326974,"kiwi, yes, fiber - nfy010by8"
326975,"kiwi, yes, vitamin c - nfy010by9"
326976,"kiwi, raw, potassium"
326977,"kiwi, yes, minerals - nfy010by7  cy010g9"
326978,"kiwi, pure compositew"
326979,kiwic
326980,kiwid
326981,kiwif
326982,"kiwi, yes, proximates  - nfy0100t4"
326983,"kiwi, yes, minerals  - nfy0100t5"
326984,"kiwi, yes, sugar  - nfy0100t6"
326985,"kiwi, yes, starch  - nfy0100t7"
326986,"kiwi, yes, fiber  - nfy0100tb"
326987,"kiwi, yes, vitamin c  - nfy0100tc"
326988,"kiwi, yes, thiamin  - nfy0100td"
326989,"kiwi, yes, riboflavin  - nfy0100te"
326990,"kiwi, yes, niacin  - nfy0100tj"
326992,"kiwi, yes, vitamin b6  - nfy0100tl"
326993,"kiwi, yes, folate  - nfy0100tm"
326994,"kiwi, yes, vitamin k  - nfy0100tn"
326995,"kiwi, yes, vitamin e  - nfy0100tr"
326996,"kiwi, yes, selenium  - nfy0100ts"
326997,"kiwi, yes, amino acids  - nfy0100tx"
326999,"kiwi, pure compositeu"
327000,kiwib
327001,kiwie
327002,kiwig
327003,"kiwi, yes, thiamin  - nfy0100rj"
327004,"kiwi, yes, riboflavin  - nfy0100rk"
327005,"kiwi, yes, niacin  - nfy0100rp"
327007,"kiwi, yes, vitamin b6  - nfy0100rr"
327008,"kiwi, yes, folate  - nfy0100rs"
327009,"kiwi, yes, vitamin k  - nfy0100rt"
327010,"kiwi, yes, proximates  - nfy0100ra"
327011,"kiwi, yes, minerals  - nfy0100rb"
327012,"kiwi, yes, sugar  - nfy0100rc"
327013,"kiwi, yes, starch  - nfy0100rd"
327014,"kiwi, yes, fiber  - nfy0100rh"
327015,"kiwi, yes, vitamin c  - nfy0100ri"
327016,"kiwi, yes, vitamin e  - nfy0100rw"
327017,"kiwi, yes, selenium  - nfy0100rx"
327019,"kiwi, pure compositegb"
327020,kiwico1
327021,kiwicnh
327022,kiwicnk
327023,"kiwi, yes, proximates - nfy010bzd"
327024,"kiwi, yes, minerals - nfy010bzf"
327025,"kiwi, yes, sugar - nfy010bzg"
327026,"kiwi, yes, fiber - nfy010bzl"
327027,"kiwi, yes, vitamin c - nfy010bzm"
327028,"kiwi, yes, vitamin k - nfy010bzn"
327030,"kiwi, pure compositegc"
327031,kiwicni
327032,kiwicnj
327033,"kiwi, yes, proximates - nfy010bzu"
327034,"kiwi, yes, minerals - nfy010bzw"
327035,"kiwi, yes, sugar - nfy010bzx"
327036,"kiwi, yes, fiber - nfy010c01"
327037,"kiwi, yes, vitamin c - nfy010c02"
327038,"kiwi, yes, thiamin - nfy010c03"
327039,"kiwi, yes, riboflavin - nfy010c04"
327040,"kiwi, yes, niacin - nfy010c09"
327041,"kiwi, yes, pantothenic acid - nfy010c0a"
327042,"kiwi, yes, vitamin b6 - nfy010c0b"
327043,"kiwi, yes, amino acids - nfy010c0c"
327044,"kiwi, yes, vitamin k - nfy010c0i"
327046,"kiwifruit, green, raw"
327047,"cantaloupe, rawh, pure composite"
327048,"cantaloupe, longview , wat1"
327049,"cantaloupe, los angeles, cat2"
327050,"cantaloupe, vancouver, wat3"
327051,"cantaloupe, raw, yes - minerals"
327052,"cantaloupe, raw, yes - sugar"
327053,"cantaloupe, raw, yes - starch"
327054,"cantaloupe, raw, yes - fiber"
327055,"cantaloupe, raw, yes - vitamin c"
327056,"cantaloupe, raw, yes - thiamin "
327057,"cantaloupe, raw, yes - riboflavin"
327058,"cantaloupe, raw, yes - niacin"
327059,"cantaloupe, raw, yes - pantothenic acid"
327060,"cantaloupe, raw, yes - vitamin b6"
327061,"cantaloupe, raw, yes - folate"
327062,"cantaloupe,  region 2, freeze dried- carotenoids - nfy0103vp"
327063,"cantaloupe, freshl - vitamin e (composite c0009h)"
327064,"cantaloupe, vitamin k -- nf00990"
327065,"cantaloupe, rawq, pure composite"
327066,"cantaloupe, beaumont , txuf"
327067,"cantaloupe, conroe , txug"
327068,"cantaloupe, wheaton , ilv9"
327069,"cantaloupe, raw, yes - proximates"
327081,"cantaloupe, raw, yes - amino acids"
327082,"cantaloupe,  region 3, freeze dried- carotenoids - nfy0103vw"
327083,"cantaloupe, freshhw - vitamin e (composite c0009q)"
327084,"cantaloupe, vitamin k -- nf009hu"
327085,"cantaloupe, rawg, pure composite"
327086,"cantaloupe, springfield , mosy"
327087,"cantaloupe, franklin , tnsz"
327088,"cantaloupe, mena , art0"
327102,"cantaloupe,  region 1, freeze dried- carotenoids - nfy0103vi"
327103,"cantaloupe, freshq - vitamin e (composite c0009g)"
327104,"cantaloupe, vitamin k -- nf00980"
327105,"cantaloupe, rawr, pure composite"
327106,"cantaloupe, franklin , pauc"
327107,"cantaloupe, springfield , njud"
327108,"cantaloupe, canonsburg/mcmurray , paue"
327121,"cantaloupe,  region 4, freeze dried- carotenoids - nfy0103w3"
327122,"cantaloupe, freshir - vitamin e (composite c0009r)"
327123,"cantaloupe, vitamin k -- nf009iu"
327124,"cantaloupe, raw, pure compositeh7"
327125,"cantaloupe, rawd0n"
327126,"cantaloupe, rawd0o"
327127,"cantaloupe, raw, ny/nj1d0p"
327128,"cantaloupe, raw, ny/nj1d0q"
